Type,Data
Driver,"57,VMFXP,25,True,True,True,False,False,None"
Driver,"58,IMNGM,57,False,True,False,True,False,None"
Driver,"59,ZCZIX,31,False,True,False,True,False,None"
Driver,"60,EAQZY,42,False,False,True,False,True,None"
Driver,"61,AMMSX,46,False,False,False,False,False,None"
Driver,"62,MXXKO,59,True,True,True,False,True,None"
Driver,"63,BPZNY,35,False,True,True,True,False,None"
Driver,"64,PFEYK,40,False,False,True,True,True,None"
Driver,"65,TYOMT,34,False,True,False,True,False,None"
Driver,"66,NZETF,36,True,False,True,True,False,None"
Driver,"67,IEVQI,25,False,False,False,True,True,None"
Driver,"68,VNGFD,22,True,False,False,False,False,None"
Driver,"69,GSFBP,33,False,True,False,True,True,None"
Driver,"70,CJLAX,40,False,True,True,False,False,None"
Driver,"71,UYGPQ,49,True,False,True,False,False,None"
Driver,"72,WJSGZ,38,True,False,True,False,False,None"
Driver,"73,XUUHA,41,True,False,True,True,False,None"
Driver,"74,DZCET,54,True,True,False,False,True,None"
Driver,"75,WDWNF,43,True,False,False,True,True,None"
Driver,"76,PFJXW,42,False,True,True,True,True,None"
Driver,"77,CHVDF,31,True,False,True,False,False,None"
Driver,"78,YJZOQ,36,False,False,False,False,False,None"
Driver,"79,PWQUI,31,False,False,True,True,True,None"
Driver,"80,PPWVY,45,True,True,True,True,True,None"
Driver,"81,LYTFW,55,False,False,False,False,False,None"
Driver,"82,WFEJL,58,False,True,True,False,False,None"
Driver,"83,ZHYUS,30,False,False,True,True,False,None"
Driver,"84,NSNBE,54,True,True,False,True,False,None"
Driver,"85,NBWBU,28,False,False,False,False,True,None"
Driver,"86,ZNFQI,54,True,False,False,False,True,None"
Driver,"87,DULKM,59,False,False,True,True,False,None"
Driver,"88,HRDCQ,26,True,True,False,True,True,None"
Driver,"89,KQCNE,23,False,True,True,False,False,None"
Driver,"90,SJKJI,29,True,True,False,True,False,None"
Driver,"91,BWAEB,52,False,True,True,False,True,None"
Driver,"92,LZGGA,28,False,False,True,True,True,None"
Driver,"93,ZRZWC,27,True,True,True,True,True,None"
Driver,"94,WBAZO,42,True,True,False,False,False,None"
Driver,"95,PWUPI,35,False,True,False,False,True,None"
Driver,"96,VIKBC,59,True,True,True,False,False,None"
Driver,"97,LGCFP,48,False,False,False,False,True,None"
Driver,"98,NRJOB,54,False,False,False,False,True,None"
Driver,"99,WXOCH,24,True,False,False,False,False,None"
Driver,"100,AEIJG,25,False,True,True,False,True,None"
Driver,"101,IZLVW,22,False,True,True,False,False,None"
Driver,"102,RXOTJ,26,True,True,False,True,False,None"
Driver,"103,VXRNC,23,True,False,False,False,True,None"
Driver,"104,SYIXU,57,False,False,True,False,True,None"
Driver,"105,QQLEC,44,True,False,False,False,False,None"
Driver,"106,LMNVZ,54,False,False,False,True,True,None"
Driver,"107,RHNRO,34,True,False,True,False,False,None"
Driver,"108,EVWPE,58,True,False,False,True,True,None"
Driver,"109,GNKUI,49,True,True,True,False,True,None"
Driver,"110,XNKNZ,42,True,True,True,False,True,None"
Driver,"111,RCKFH,59,True,True,True,False,True,None"
Driver,"112,HQHLG,55,True,False,False,True,False,None"
Driver,"113,XMJRB,29,False,False,True,True,True,None"
Driver,"114,GILNM,35,False,True,False,False,True,None"
Driver,"115,LMPTJ,52,True,False,True,True,False,None"
Driver,"116,BMJZV,52,True,True,False,True,True,None"
Driver,"117,CUTMV,50,True,False,True,False,False,None"
Driver,"118,LXAIZ,59,True,False,True,False,True,None"
Driver,"119,VKWGF,54,True,True,False,True,False,None"
Driver,"120,UNLWW,25,False,True,True,True,True,None"
Driver,"121,ZTLRZ,60,False,False,True,True,False,None"
Driver,"122,KHRMN,21,True,False,False,True,True,None"
Driver,"123,GYAAE,32,True,False,False,True,True,None"
Driver,"124,TSHSF,44,False,False,True,False,False,None"
Driver,"125,RWDKQ,53,False,True,True,True,False,None"
Driver,"126,MHHDW,28,False,True,False,True,True,None"
Driver,"127,UFNKU,45,True,True,False,True,True,None"
Driver,"128,ARGGJ,21,True,True,False,False,True,None"
Driver,"129,PAEJJ,54,True,True,False,False,True,None"
Driver,"130,RITEF,40,False,False,False,False,True,None"
Driver,"131,AVJZH,57,True,True,False,False,False,None"
Driver,"132,LXZDE,58,False,False,True,False,False,None"
Driver,"133,PRJSM,51,True,False,False,False,False,None"
Driver,"134,GYSDI,50,True,True,False,False,False,None"
Driver,"135,MMZNF,47,True,False,False,False,True,None"
Driver,"136,TTPRF,34,True,True,False,True,True,None"
Driver,"137,TFMAP,48,True,True,False,True,True,None"
Driver,"138,YVVAA,58,True,False,False,False,True,None"
Driver,"139,HCRLC,56,False,True,True,False,False,None"
Driver,"140,DGXXF,49,False,False,False,False,False,None"
Driver,"141,KJNFD,54,True,False,False,False,False,None"
Driver,"142,FNION,36,False,True,False,True,False,None"
Driver,"143,WEDQZ,41,True,True,True,True,True,None"
Driver,"144,ORRIG,55,True,False,False,True,False,None"
Driver,"145,SJNYY,44,True,False,False,True,True,None"
Driver,"146,YWDXC,44,False,False,False,True,True,None"
Driver,"147,QINQC,55,True,False,True,False,True,None"
Driver,"148,HIYEK,24,False,True,True,True,False,None"
Driver,"149,ZGBZK,60,True,False,False,True,True,None"
Driver,"150,NYELX,24,True,True,True,True,True,None"
Driver,"151,KTXSW,37,True,True,False,False,True,None"
Driver,"152,DLUEG,31,False,True,True,True,False,None"
Driver,"153,EIBXV,20,True,False,False,True,True,None"
Driver,"154,YQHFB,45,True,True,True,True,False,None"
Driver,"155,JWJOU,35,False,False,True,False,True,None"
Driver,"156,HDXBT,46,False,True,False,True,True,None"
Driver,"157,FBMUL,60,False,False,True,False,False,None"
Driver,"158,PMOVN,59,False,True,True,True,False,None"
Driver,"159,GRPFY,45,False,True,True,True,False,None"
Driver,"160,TSLSW,20,True,False,False,False,True,None"
Driver,"161,QENNE,46,True,False,True,False,False,None"
Driver,"162,ACLVY,49,True,False,True,True,True,None"
Driver,"163,JSSXJ,39,False,True,False,False,False,None"
Driver,"164,ZZPAS,22,True,True,False,True,True,None"
Driver,"165,NFAIB,31,False,False,False,False,False,None"
Driver,"166,VZIFL,56,False,True,True,False,False,None"
Driver,"167,YNLPT,33,False,False,True,False,True,None"
Driver,"168,KODRS,22,True,True,True,True,False,None"
Driver,"169,IBHBK,48,False,False,False,True,True,None"
Driver,"170,CGBVT,48,True,True,False,False,True,None"
Driver,"171,AUWEM,44,True,False,True,True,False,None"
Driver,"172,SZEGV,30,True,False,False,False,True,None"
Driver,"173,TVDSL,48,True,False,True,False,False,None"
Driver,"174,UFLLL,40,True,True,True,True,True,None"
Driver,"175,AJKRX,54,True,False,False,True,False,None"
Driver,"176,LTJPK,56,True,True,False,False,False,None"
Driver,"177,UWGQS,48,True,True,False,False,False,None"
Driver,"178,BSEUW,47,True,False,True,True,True,None"
Driver,"179,IPIAV,45,True,False,False,True,True,None"
Driver,"180,WBEEL,51,True,True,False,False,True,None"
Driver,"181,BVEFR,48,True,False,True,True,False,None"
Driver,"182,VBOXW,45,True,True,True,True,True,None"
Driver,"183,CPCFA,32,True,True,False,False,False,None"
Driver,"184,DLGAY,38,False,False,False,True,True,None"
Driver,"185,YFDUT,46,True,True,True,True,False,None"
Driver,"186,WHUXG,42,False,True,False,True,True,None"
Driver,"187,BPTON,51,True,True,True,False,True,None"
Driver,"188,RTROP,24,False,False,True,False,False,None"
Driver,"189,NWDSU,36,False,True,False,True,True,None"
Driver,"190,AWZDL,28,True,False,True,True,False,None"
Driver,"191,FNGLZ,51,False,True,False,False,False,None"
Driver,"192,OIPPU,53,True,True,False,True,False,None"
Driver,"193,DCAET,38,True,True,True,False,True,None"
Driver,"194,ODRBY,53,True,True,False,True,False,None"
Driver,"195,AMVQF,38,True,True,True,True,True,None"
Driver,"196,XWISW,44,False,False,False,False,True,None"
Driver,"197,XFAGB,25,False,True,True,False,False,None"
Driver,"198,OSFCM,33,False,True,False,False,True,None"
Driver,"199,WHVKD,37,True,True,False,False,True,None"
Driver,"200,RWYYX,31,False,False,True,True,True,None"
Driver,"201,QQGBU,21,True,False,True,True,True,None"
Driver,"202,TEPFO,34,False,False,True,False,False,None"
Driver,"203,BMFCJ,53,False,False,True,False,False,None"
Driver,"204,KXOGI,31,True,False,False,False,True,None"
Driver,"205,ELSHM,46,True,False,False,False,False,None"
Driver,"206,FDELR,37,False,True,True,True,True,None"
Driver,"207,QRKHY,44,True,True,False,True,True,None"
Driver,"208,GENDM,45,True,True,True,False,False,None"
Driver,"209,DVIME,37,True,True,True,True,False,None"
Driver,"210,PWXTF,34,True,False,False,True,False,None"
Driver,"211,TEGDP,44,True,False,True,False,False,None"
Driver,"212,OWZVZ,31,False,False,True,False,False,None"
Driver,"213,UDJRX,24,True,False,False,False,False,None"
Driver,"214,OAHDJ,56,True,True,True,False,True,None"
Driver,"215,CPECY,48,True,False,True,True,False,None"
Driver,"216,PQSPZ,29,False,False,True,False,True,None"
Driver,"217,IILSD,33,False,False,False,True,True,None"
Driver,"218,TDWEZ,48,True,False,False,True,True,None"
Driver,"219,ARWOR,58,False,True,False,True,False,None"
Driver,"220,JBKRH,50,True,True,True,True,True,None"
Driver,"221,GBLWL,33,True,True,False,True,False,None"
Driver,"222,OPFIO,51,True,True,True,True,True,None"
Driver,"223,WLDER,26,True,True,False,True,False,None"
Driver,"224,DEAJT,22,True,True,True,True,True,None"
Driver,"225,KDHSN,47,False,True,False,False,False,None"
Driver,"226,JKSRD,23,True,True,False,False,False,None"
Driver,"227,GISOC,50,False,False,True,False,False,None"
Driver,"228,GAMMW,32,False,True,False,True,True,None"
Driver,"229,UWMFW,38,True,False,True,False,True,None"
Driver,"230,XLLWW,43,False,True,True,False,False,None"
Driver,"231,XDRTU,46,True,False,True,True,False,None"
Driver,"232,UDQWV,28,True,True,False,True,False,None"
Driver,"233,DQMKX,23,True,False,False,True,False,None"
Driver,"234,KHAOV,49,False,True,True,False,False,None"
Driver,"235,DGLOJ,36,True,True,False,True,False,None"
Driver,"236,ZJKSB,53,False,True,False,True,False,None"
Driver,"237,XSADT,20,True,True,True,False,True,None"
Driver,"238,JALMM,21,False,False,False,True,True,None"
Driver,"239,BCDWD,58,True,True,False,False,False,None"
Driver,"240,WIPLM,39,False,True,True,True,False,None"
Driver,"241,DMEHN,43,False,True,False,True,True,None"
Driver,"242,JUIVI,45,True,True,True,False,True,None"
Driver,"243,QLPHJ,36,False,True,False,False,False,None"
Driver,"244,AHANU,47,False,False,False,True,False,None"
Driver,"245,HGJIX,20,True,False,False,True,True,None"
Driver,"246,PGIAJ,37,True,False,False,True,False,None"
Driver,"247,LIXRD,25,False,True,True,True,False,None"
Driver,"248,CKVIC,41,True,True,False,False,False,None"
Driver,"249,MFTVV,56,False,True,False,False,False,None"
Driver,"250,BZZAH,47,True,True,False,False,False,None"
Driver,"251,PUVZA,56,True,False,True,True,False,None"
Driver,"252,LATYQ,40,True,False,False,False,False,None"
Driver,"253,HGOIL,56,False,True,False,True,True,None"
Driver,"254,GJXNN,35,True,True,True,True,True,None"
Driver,"255,LYLRU,26,False,False,True,True,False,None"
Driver,"256,BWUTF,59,True,False,True,True,False,None"
Driver,"257,JDMFL,29,False,False,False,True,True,None"
Driver,"258,GIESJ,23,True,True,True,False,True,None"
Driver,"259,TECBF,51,True,True,True,True,True,None"
Driver,"260,KVNRP,26,False,True,False,False,True,None"
Driver,"261,UXAPV,41,True,False,False,False,False,None"
Driver,"262,FXSEN,53,True,False,False,True,True,None"
Driver,"263,SGLHP,50,False,True,False,True,False,None"
Driver,"264,TBDOT,42,False,True,True,True,False,None"
Driver,"265,ROBMI,32,False,True,True,True,False,None"
Driver,"266,MSKXZ,32,True,False,True,False,False,None"
Driver,"267,ZVCCU,52,False,True,False,True,True,None"
Driver,"268,LATYZ,27,False,False,False,True,False,None"
Driver,"269,ZZYEF,60,False,True,False,False,False,None"
Driver,"270,PUUYG,31,True,True,True,True,True,None"
Driver,"271,SMLNR,24,True,True,False,False,True,None"
Driver,"272,VIFMB,30,False,True,False,False,False,None"
Driver,"273,DKUOA,33,False,False,True,False,True,None"
Driver,"274,QMXLQ,24,False,False,True,False,True,None"
Driver,"275,BQBPO,40,False,False,False,True,True,None"
Driver,"276,LZAUS,49,True,True,True,True,True,None"
Driver,"277,XPEZD,44,True,True,False,True,False,None"
Driver,"278,SEAYJ,35,False,True,True,False,False,None"
Driver,"279,EQEDJ,53,True,True,False,True,True,None"
Driver,"280,NVLOA,23,False,False,True,False,True,None"
Driver,"281,GAXHD,21,True,True,False,False,False,None"
Driver,"282,RITWF,35,True,True,False,False,True,None"
Driver,"283,VHCWE,26,True,False,False,True,True,None"
Driver,"284,UCWSE,53,True,False,False,True,False,None"
Driver,"285,NZBIS,41,False,False,False,True,True,None"
Driver,"286,MBVYE,31,True,True,False,True,True,None"
Driver,"287,BBOKY,39,True,True,False,True,False,None"
Driver,"288,MMANE,31,True,False,True,True,False,None"
Driver,"289,QPKVI,59,False,True,True,False,True,None"
Driver,"290,TZPSX,25,False,False,True,True,True,None"
Driver,"291,KZNBJ,46,False,True,False,True,True,None"
Driver,"292,VURGJ,60,False,False,True,True,False,None"
Driver,"293,CTEQB,59,False,False,False,False,False,None"
Driver,"294,LHVJT,29,True,True,True,False,True,None"
Driver,"295,WGHNE,34,False,True,False,False,False,None"
Driver,"296,WOWCK,52,True,False,True,True,False,None"
Driver,"297,PYBND,40,True,True,False,False,False,None"
Driver,"298,AWEOT,32,True,True,False,True,True,None"
Driver,"299,VEPOZ,20,True,False,True,True,True,None"
Driver,"300,TDAMH,28,True,True,False,False,True,None"
Driver,"301,VTXDA,44,False,True,False,True,False,None"
Driver,"302,DYNJW,20,True,True,False,True,True,None"
Driver,"303,OJHAG,32,False,False,True,True,False,None"
Driver,"304,FCAHM,36,False,True,True,False,False,None"
Driver,"305,HKVGE,24,True,False,False,False,False,None"
Driver,"306,PMNZK,22,True,True,False,True,True,None"
Driver,"307,TLYAB,34,False,True,False,False,True,None"
Driver,"308,ADNQB,50,True,True,True,False,False,None"
Driver,"309,IGTJN,50,True,True,True,False,False,None"
Driver,"310,BBAIH,53,False,False,False,True,True,None"
Driver,"311,CZTJD,42,True,False,True,False,False,None"
Driver,"312,ISZRW,39,False,True,False,True,False,None"
Driver,"313,IMPCS,30,True,True,False,False,False,None"
Driver,"314,TTSRU,49,True,False,False,False,True,None"
Driver,"315,QEEEP,37,True,True,False,False,False,None"
Driver,"316,HXACQ,28,False,True,True,True,True,None"
Driver,"317,LIJVP,20,True,True,True,True,True,None"
Driver,"318,ZWOWH,44,False,False,True,False,True,None"
Driver,"319,IDDAF,59,True,True,False,True,True,None"
Driver,"320,ANNAS,27,True,True,True,True,True,None"
Driver,"321,RLFHT,57,True,False,True,True,True,None"
Driver,"322,JMWVO,35,False,True,False,False,True,None"
Driver,"323,ZWSAW,35,True,False,False,True,True,None"
Driver,"324,KJKBT,51,False,False,True,True,False,None"
Driver,"325,DATOF,43,False,False,True,False,True,None"
Driver,"326,GOLFL,34,False,False,True,True,True,None"
Driver,"327,SLRPJ,57,False,False,True,True,True,None"
Driver,"328,ZPYOD,42,True,True,True,True,True,None"
Driver,"329,CCSCP,46,False,False,True,False,True,None"
Driver,"330,FKTVV,54,True,True,True,True,False,None"
Driver,"331,AJNKK,52,False,False,True,False,False,None"
Driver,"332,YEBPA,42,False,True,True,True,True,None"
Driver,"333,ZFHMT,38,True,True,False,False,True,None"
Driver,"334,UVCBH,26,False,False,True,False,True,None"
Driver,"335,LEDEI,46,True,True,True,True,False,None"
Driver,"336,AYMOA,21,False,False,True,False,True,None"
Driver,"337,WUYXR,59,False,True,True,False,False,None"
Driver,"338,LNTXB,33,True,True,False,False,True,None"
Driver,"339,XFKNC,30,True,True,True,True,False,None"
Driver,"340,OEEKC,34,True,True,False,True,True,None"
Driver,"341,WNBGH,21,True,False,False,False,False,None"
Driver,"342,BTOBP,53,True,False,False,True,True,None"
Driver,"343,OWWOH,48,True,True,False,True,True,None"
Driver,"344,TJBYO,55,False,True,False,True,True,None"
Driver,"345,LOIRB,58,True,False,False,False,True,None"
Driver,"346,UOCAJ,44,False,True,False,False,False,None"
Driver,"347,EBUMN,41,False,True,True,False,True,None"
Driver,"348,KDXLI,52,False,False,True,True,True,None"
Driver,"349,IOOBY,36,True,False,False,False,False,None"
Driver,"350,VLNKX,56,False,False,True,False,False,None"
Driver,"351,PUZUX,53,True,False,True,True,False,None"
Driver,"352,NVILA,40,False,True,True,True,True,None"
Driver,"353,BDTVH,38,True,True,False,True,False,None"
Driver,"354,UAXLV,33,True,True,False,False,True,None"
Driver,"355,IUEYQ,47,True,False,False,True,True,None"
Driver,"356,ZMIFJ,26,False,False,False,False,False,None"
Driver,"357,FVUNA,47,True,True,False,True,True,None"
Driver,"358,TCFJA,36,True,False,False,False,False,None"
Driver,"359,YDFYW,43,False,False,False,True,False,None"
Driver,"360,RQABR,59,True,True,True,True,False,None"
Driver,"361,MZKSZ,26,False,True,False,True,True,None"
Driver,"362,GJJIW,38,False,True,True,False,True,None"
Driver,"363,LRAIL,35,False,True,True,False,False,None"
Driver,"364,LGZYL,20,False,True,True,False,True,None"
Driver,"365,GHBSY,21,False,True,True,True,False,None"
Driver,"366,RNCHZ,60,True,True,True,True,False,None"
Driver,"367,YIHQR,20,False,True,False,False,True,None"
Driver,"368,ZJUCR,47,True,True,False,True,False,None"
Driver,"369,JHOVJ,24,False,True,True,True,True,None"
Driver,"370,JQHRY,47,True,True,False,False,True,None"
Driver,"371,QGKSC,31,True,True,False,True,True,None"
Driver,"372,OYVMV,54,True,True,False,False,True,None"
Driver,"373,TVTPG,22,True,True,False,True,True,None"
Driver,"374,WAMER,57,True,True,True,True,True,None"
Driver,"375,JMWDY,44,True,False,False,False,False,None"
Driver,"376,HYXAP,46,True,True,False,False,False,None"
Driver,"377,TGRSK,26,True,False,False,True,True,None"
Driver,"378,SXRGE,24,True,True,False,True,True,None"
Driver,"379,WAUSM,57,True,True,True,False,False,None"
Driver,"380,DYEXL,26,False,False,True,True,False,None"
Driver,"381,XGXJI,47,False,False,False,True,False,None"
Driver,"382,EJQCK,27,False,False,False,True,False,None"
Driver,"383,JKPWT,26,False,False,False,True,True,None"
Driver,"384,WQFJJ,33,True,False,False,True,True,None"
Driver,"385,VAFZA,45,True,False,True,True,False,None"
Driver,"386,FSSEE,49,False,True,False,True,True,None"
Driver,"387,JNHWS,39,False,True,False,True,False,None"
Driver,"388,VGHEI,26,False,True,True,False,False,None"
Driver,"389,XWVSI,58,False,True,False,True,True,None"
Driver,"390,UKSHN,25,False,True,False,True,False,None"
Driver,"391,YSYJY,21,True,False,True,False,True,None"
Driver,"392,FNGWO,53,True,True,False,False,True,None"
Driver,"393,CCOYG,44,False,False,False,False,False,None"
Driver,"394,ZHSAU,36,False,True,False,False,False,None"
Driver,"395,SAJCC,39,True,False,False,False,False,None"
Driver,"396,CYSSQ,58,True,False,True,True,False,None"
Driver,"397,VCYOY,26,True,True,True,False,False,None"
Driver,"398,CWPRU,23,False,True,True,True,True,None"
Driver,"399,HLDEP,55,False,False,True,True,True,None"
Driver,"400,VUCED,38,False,True,False,True,False,None"
Driver,"401,OWXKL,27,True,True,False,True,False,None"
Driver,"402,ZWKGF,58,True,True,False,True,False,None"
Driver,"403,HJZRN,43,True,True,False,False,False,None"
Driver,"404,IPOPU,46,True,True,False,True,True,None"
Driver,"405,PWGGH,41,False,False,True,False,True,None"
Driver,"406,ECYQK,22,True,True,True,True,False,None"
Driver,"407,SGOZC,50,False,False,True,True,False,None"
Driver,"408,XTWMC,44,False,False,True,True,True,None"
Driver,"409,VPSYH,42,True,False,False,False,True,None"
Driver,"410,HXPLJ,43,False,True,True,True,True,None"
Driver,"411,JEZJJ,54,False,True,True,True,True,None"
Driver,"412,VNDOI,30,False,True,True,False,True,None"
Driver,"413,QPSLE,36,False,True,False,False,False,None"
Driver,"414,WYVYH,38,False,True,True,False,False,None"
Driver,"415,BIWGS,54,True,True,True,True,True,None"
Driver,"416,YAFSG,50,False,False,True,True,False,None"
Driver,"417,BPSBX,37,True,True,False,True,False,None"
Driver,"418,VTWCE,26,False,True,False,False,True,None"
Driver,"419,YFVDC,31,False,False,True,True,False,None"
Driver,"420,AOLFA,42,False,True,True,True,True,None"
Driver,"421,NKNDN,54,True,True,False,True,False,None"
Driver,"422,NWFZF,26,True,False,True,False,True,None"
Driver,"423,QZPMN,20,False,True,False,False,True,None"
Driver,"424,CLIGP,29,True,True,True,False,False,None"
Driver,"425,DTPRW,59,False,True,True,True,False,None"
Driver,"426,VJAXZ,26,False,False,True,False,True,None"
Driver,"427,RWSIA,53,True,False,False,True,True,None"
Driver,"428,ANLCM,49,False,False,True,True,True,None"
Driver,"429,LVCUT,54,False,False,True,True,True,None"
Driver,"430,TWPVB,37,True,True,True,False,True,None"
Driver,"431,JCGOV,57,True,False,False,False,True,None"
Driver,"432,BIFZY,29,True,False,True,False,False,None"
Driver,"433,OFYJI,32,False,True,False,True,False,None"
Driver,"434,AKHXT,45,True,True,False,False,True,None"
Driver,"435,JYOJG,30,False,False,True,True,True,None"
Driver,"436,CJJOG,50,False,False,False,True,True,None"
Driver,"437,IZKKR,44,False,True,True,False,True,None"
Driver,"438,GDINR,26,False,True,False,False,False,None"
Driver,"439,YEOMB,36,False,True,False,False,False,None"
Driver,"440,FOYCU,33,True,False,True,False,False,None"
Driver,"441,QVQWD,49,False,True,False,True,False,None"
Driver,"442,MIDMO,23,True,True,False,True,False,None"
Driver,"443,UJUTO,60,False,False,True,False,False,None"
Driver,"444,IXKAY,22,False,False,True,False,True,None"
Driver,"445,ERSFV,50,True,True,False,True,True,None"
Driver,"446,MJTUY,34,True,True,False,True,True,None"
Driver,"447,NNSFG,23,True,True,True,True,True,None"
Driver,"448,PWAJP,30,True,True,True,False,True,None"
Driver,"449,MBXXK,38,True,False,False,True,False,None"
Driver,"450,HVORH,41,True,False,True,False,True,None"
Driver,"451,LEILL,25,False,False,True,False,True,None"
Driver,"452,FPJJB,57,False,True,True,True,True,None"
Driver,"453,ZFJCI,28,False,True,False,True,True,None"
Driver,"454,XMDGQ,60,False,False,False,False,False,None"
Driver,"455,MEUJJ,43,True,False,True,True,True,None"
Driver,"456,TVZQG,46,True,False,True,True,False,None"
Driver,"457,TUXFF,48,False,False,False,True,True,None"
Driver,"458,MBBSF,51,True,False,False,True,False,None"
Driver,"459,PYTNP,48,True,False,True,False,True,None"
Driver,"460,DAIFK,55,True,True,True,True,True,None"
Driver,"461,NULEF,26,True,True,False,True,True,None"
Driver,"462,UUETX,28,False,True,False,False,True,None"
Driver,"463,SZFGQ,25,False,True,True,False,False,None"
Driver,"464,TEIUE,28,False,False,False,True,False,None"
Driver,"465,TIJYG,53,False,True,False,False,True,None"
Driver,"466,KBFHB,28,True,False,False,True,True,None"
Driver,"467,NOPYU,32,False,True,False,False,True,None"
Driver,"468,PYCSC,58,False,True,True,True,True,None"
Driver,"469,NEDCX,37,False,True,True,True,False,None"
Driver,"470,VINBV,47,False,True,True,True,False,None"
Driver,"471,XFKLR,59,False,False,False,False,True,None"
Driver,"472,IONTP,21,False,False,True,False,False,None"
Driver,"473,VXLMY,38,False,False,True,False,True,None"
Driver,"474,DSDXL,26,True,False,False,True,True,None"
Driver,"475,HAHOP,21,False,False,True,True,True,None"
Driver,"476,KPMRY,26,True,True,False,False,True,None"
Driver,"477,PNPAC,34,True,True,False,True,False,None"
Driver,"478,YETMA,48,True,False,True,False,True,None"
Driver,"479,RISYL,21,False,False,True,True,False,None"
Driver,"480,YFOAB,24,False,False,True,False,True,None"
Driver,"481,FWZNJ,35,True,False,True,False,False,None"
Driver,"482,YCZMG,23,False,True,True,True,True,None"
Driver,"483,HSHYR,36,False,False,True,False,True,None"
Driver,"484,CWOXE,43,False,True,True,False,False,None"
Driver,"485,CKZFA,27,False,True,False,True,False,None"
Driver,"486,EAWVJ,46,False,False,False,False,False,None"
Driver,"487,DYXZB,57,False,True,False,True,False,None"
Driver,"488,DOYRN,44,True,True,True,False,False,None"
Driver,"489,WRXAD,41,False,False,True,False,True,None"
Driver,"490,QFHYX,45,False,False,False,False,False,None"
Driver,"491,ODIVU,57,False,True,False,False,False,None"
Driver,"492,WMXGX,21,True,True,False,False,False,None"
Driver,"493,WTHII,51,True,True,False,False,True,None"
Driver,"494,QCTXZ,26,False,False,False,True,True,None"
Driver,"495,DYQNK,30,False,False,False,False,True,None"
Driver,"496,LCGUI,20,True,True,True,True,True,None"
Driver,"497,AFZIR,54,True,True,False,False,False,None"
Driver,"498,YSHCO,30,True,True,True,False,False,None"
